Plate,Well ID,Well,Sample,Detector,Task,Ct,Ct std err,Avg Ct,Avg dCt,dCt std err,ddCt,RQ,RQ min,RQ max,Omit,Filtered,Threshold,Auto Ct,Baseline,Start,End
p150KO_p150_dcat,77,G5,Tub_1,SyB G,cat_9.1,13.82,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,78,G6,Tub_1,SyB G,cat_9.2,13.83,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,79,G7,Tub_1,SyB G,cat_11.1,13.898,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,80,G8,Tub_1,SyB G,cat_11.2,13.979,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,81,G9,Tub_1,SyB G,KO_1,14.151,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,82,G10,Tub_1,SyB G,KO_2,14.193,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,83,G11,Tub_1,SyB G,Lenti_1,13.847,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,84,G12,Tub_1,SyB G,Lenti_2,13.937,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,85,H1,Tub_2,SyB G,p150_8.1,14.159,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,86,H2,Tub_2,SyB G,p150_8.2,14.019,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,87,H3,Tub_2,SyB G,p150_11.1,14.18,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,88,H4,Tub_2,SyB G,p150_11.2,14.061,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,89,H5,Tub_2,SyB G,cat_9.1,13.843,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,90,H6,Tub_2,SyB G,cat_9.2,13.876,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,91,H7,Tub_2,SyB G,cat_11.1,14.048,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,92,H8,Tub_2,SyB G,cat_11.2,13.883,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,93,H9,Tub_2,SyB G,KO_1,14.108,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,94,H10,Tub_2,SyB G,KO_2,14.173,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,95,H11,Tub_2,SyB G,Lenti_1,13.992,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,96,H12,Tub_2,SyB G,Lenti_2,13.887,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
